filename,setting_id,level,section_name,block_name,type,property,content
./static-cart/static-cart.json,name,sections,cart,,name,section name,Cart
./static-cart/static-cart.json,enable_checkout_lock_icon,sections,cart,,checkbox,label,Show lock icon on checkout button
./static-cart/static-cart.json,show_cart_notes,sections,cart,,checkbox,label,Enable order notes
./static-cart/static-cart.json,use_continue_shopping,sections,cart,,checkbox,label,Show 'continue shopping' button
./dynamic-rich-text/dynamic-rich-text.json,name,sections,rich_text,,name,section name,Rich text
./dynamic-rich-text/dynamic-rich-text.json,title,sections,rich_text,,text,label,Heading
./dynamic-rich-text/dynamic-rich-text.json,introduction_tagline,sections,rich_text,,richtext,label,Text
./dynamic-rich-text/dynamic-rich-text.json,Rich text,presets,rich_text,,category,category,Text
./dynamic-rich-text/dynamic-rich-text.json,Rich text,presets,rich_text,,name,name,Rich text
./dynamic-featured-collection/dynamic-featured-collection.json,name,sections,featured_collection,,name,section name,Featured collection
